time,I,Q
0.000228 ,0.00E+00,3.05E-05
0.000232 ,-6.10E-05,-1.83E-04
0.000236 ,-1.53E-04,-3.05E-05
0.000240 ,-6.10E-05,-1.53E-04
0.000244 ,0.00E+00,-3.05E-05
0.000248 ,-1.83E-04,1.83E-04
0.000252 ,0.00E+00,1.83E-04
0.000256 ,-3.05E-05,9.16E-05
0.000260 ,-1.53E-04,0.00E+00
0.000264 ,-6.10E-05,-3.05E-05
0.000268 ,3.05E-05,-1.83E-04
0.000272 ,-3.05E-05,-3.05E-05
0.000276 ,-6.10E-05,0.00E+00
0.000280 ,3.05E-05,-1.53E-04
0.000284 ,3.05E-05,1.22E-04
0.000288 ,3.05E-05,6.10E-05
0.000292 ,6.10E-05,6.10E-05
0.000296 ,6.10E-05,3.05E-05
0.000300 ,-3.05E-05,3.05E-05
0.000304 ,3.05E-05,1.53E-04
0.000308 ,-6.10E-05,-1.22E-04
0.000312 ,-6.10E-05,0.00E+00
0.000316 ,-3.05E-05,-3.05E-05
0.000320 ,3.05E-05,0.00E+00
0.000324 ,-6.10E-05,3.05E-05
0.000328 ,3.05E-05,1.22E-04
0.000332 ,-3.05E-05,9.16E-05
0.000336 ,-1.22E-04,0.00E+00
0.000340 ,-1.83E-04,-1.22E-04
0.000344 ,3.05E-05,-1.53E-04
0.000348 ,3.05E-05,-2.44E-04
0.000352 ,2.14E-04,-1.83E-04
0.000356 ,2.14E-04,-6.10E-05
0.000360 ,3.05E-05,0.00E+00
0.000364 ,3.05E-05,-6.10E-05
0.000368 ,-2.44E-04,1.53E-04
0.000372 ,-9.16E-05,1.83E-04
0.000376 ,6.10E-05,0.00E+00
0.000380 ,0.00E+00,-1.53E-04
0.000384 ,3.05E-05,-1.22E-04
0.000388 ,6.10E-05,-6.10E-05
0.000392 ,6.10E-05,-3.05E-05
0.000396 ,1.83E-04,-1.22E-04
0.000400 ,9.16E-05,3.05E-05
0.000404 ,6.10E-05,3.05E-05
0.000408 ,-6.10E-05,9.16E-05
0.000412 ,-6.10E-05,1.22E-04
0.000416 ,-6.10E-05,2.14E-04
0.000420 ,-3.05E-05,2.44E-04
0.000424 ,0.00E+00,-3.05E-05
0.000428 ,1.53E-04,-1.53E-04
0.000432 ,1.22E-04,0.00E+00
0.000436 ,3.05E-05,1.22E-04
0.000440 ,-3.05E-05,2.14E-04
0.000444 ,-3.05E-05,0.00E+00
0.000448 ,9.16E-05,-2.14E-04
0.000452 ,-3.05E-05,-9.16E-05
0.000456 ,-6.10E-05,-6.10E-05
0.000460 ,6.10E-05,-3.05E-05
0.000464 ,1.22E-04,-6.10E-05
0.000468 ,6.10E-05,-3.05E-05
0.000472 ,1.22E-04,1.53E-04
0.000476 ,3.05E-05,1.22E-04
0.000480 ,-3.05E-05,9.16E-05
0.000484 ,-1.22E-04,6.10E-05
0.000488 ,-1.53E-04,6.10E-05
0.000492 ,6.10E-05,0.00E+00
0.000496 ,6.10E-05,3.05E-05
0.000500 ,-1.83E-04,2.14E-04
0.000504 ,-2.75E-04,0.00E+00
0.000508 ,-1.53E-04,-1.22E-04
0.000512 ,-6.10E-05,9.16E-05
0.000516 ,9.16E-05,1.22E-04
0.000520 ,0.00E+00,-9.16E-05
0.000524 ,-6.10E-05,3.05E-05
0.000528 ,0.00E+00,-3.05E-05
0.000532 ,-3.05E-05,-3.05E-05
0.000536 ,-6.10E-05,-9.16E-05
0.000540 ,3.05E-05,9.16E-05
0.000544 ,6.10E-05,1.22E-04
0.000548 ,3.05E-05,1.53E-04
0.000552 ,-6.10E-05,3.05E-05
0.000556 ,-3.05E-05,3.05E-05
0.000560 ,-1.22E-04,0.00E+00
0.000564 ,6.10E-05,9.16E-05
0.000568 ,-9.16E-05,3.36E-04
0.000572 ,-3.05E-05,9.16E-05
0.000576 ,9.16E-05,1.53E-04
0.000580 ,3.05E-04,4.27E-04
0.000584 ,1.53E-04,3.66E-04
0.000588 ,0.00E+00,1.22E-04
0.000592 ,-3.05E-05,-1.22E-04
0.000596 ,0.00E+00,-2.44E-04
0.000600 ,9.16E-05,-1.22E-04
0.000604 ,1.22E-04,3.05E-05
0.000608 ,6.10E-05,-9.16E-05
0.000612 ,3.05E-05,-6.10E-05
0.000616 ,1.22E-04,0.00E+00
0.000620 ,1.22E-04,-3.05E-05
0.000624 ,9.16E-05,9.16E-05
0.000628 ,0.00E+00,1.53E-04
0.000632 ,-6.10E-05,6.10E-05
0.000636 ,-3.05E-05,-2.75E-04
0.000640 ,1.53E-04,-3.05E-05
0.000644 ,-1.53E-04,9.16E-05
0.000648 ,-1.83E-04,-1.53E-04
0.000652 ,-9.16E-05,-1.53E-04
0.000656 ,-6.10E-05,-6.10E-05
0.000660 ,-6.10E-05,-9.16E-05
0.000664 ,-6.10E-05,0.00E+00
0.000668 ,-1.22E-04,1.22E-04
0.000672 ,-9.16E-05,6.10E-05
0.000676 ,-6.10E-05,6.10E-05
0.000680 ,3.66E-04,6.10E-05
0.000684 ,3.05E-04,3.05E-05
0.000688 ,1.53E-04,6.10E-05
0.000692 ,6.10E-05,6.10E-05
0.000696 ,-9.16E-05,-6.10E-05
0.000700 ,0.00E+00,-3.05E-05
0.000704 ,3.05E-05,6.10E-05
0.000708 ,1.22E-04,-1.22E-04
0.000712 ,1.83E-04,-1.83E-04
0.000716 ,1.53E-04,3.05E-05
0.000720 ,1.22E-04,1.22E-04
0.000724 ,0.00E+00,3.05E-05
0.000728 ,1.22E-04,-6.10E-05
0.000732 ,-9.16E-05,-9.16E-05
0.000736 ,-9.16E-05,9.16E-05
0.000740 ,-3.05E-05,1.22E-04
0.000744 ,-1.83E-04,0.00E+00
0.000748 ,-6.10E-05,-1.22E-04
0.000752 ,2.75E-04,2.14E-04
0.000756 ,1.22E-04,1.53E-04
0.000760 ,-6.10E-05,-6.10E-05
0.000764 ,3.05E-05,-3.05E-05
0.000768 ,1.53E-04,-6.10E-05
0.000772 ,-6.10E-05,6.10E-05
0.000776 ,6.10E-05,3.05E-05
0.000780 ,3.05E-05,3.05E-05
0.000784 ,3.05E-05,3.05E-05
0.000788 ,-3.05E-05,-6.10E-05
0.000792 ,-3.05E-05,3.05E-05
0.000796 ,6.10E-05,-6.10E-05
0.000800 ,-6.10E-05,-1.22E-04
0.000804 ,-1.53E-04,-9.16E-05
0.000808 ,-3.05E-05,6.10E-05
0.000812 ,-6.10E-05,-6.10E-05
0.000816 ,3.05E-05,3.05E-05
0.000820 ,-3.05E-05,-3.05E-05
0.000824 ,-6.10E-05,-6.10E-05
0.000828 ,3.05E-05,0.00E+00
0.000832 ,6.10E-05,-3.05E-05
0.000836 ,3.05E-05,-9.16E-05
0.000840 ,1.53E-04,1.83E-04
0.000844 ,1.22E-04,6.10E-05
0.000848 ,3.05E-05,-1.22E-04
0.000852 ,6.10E-05,6.10E-05
0.000856 ,-1.83E-04,1.22E-04
0.000860 ,-1.22E-04,-6.10E-05
0.000864 ,-6.10E-05,-1.22E-04
0.000868 ,-1.53E-04,0.00E+00
0.000872 ,-2.75E-04,3.05E-05
0.000876 ,-3.05E-05,-6.10E-05
0.000880 ,3.05E-05,9.16E-05
0.000884 ,-3.05E-05,1.83E-04
0.000888 ,-9.16E-05,2.14E-04
0.000892 ,0.00E+00,1.22E-04
0.000896 ,-3.05E-05,-3.05E-05
0.000900 ,-3.05E-05,1.53E-04
0.000904 ,9.16E-05,2.14E-04
0.000908 ,9.16E-05,3.36E-04
0.000912 ,0.00E+00,9.16E-05
0.000916 ,-1.83E-04,-3.05E-05
0.000920 ,-1.22E-04,-9.16E-05
0.000924 ,-3.05E-05,0.00E+00
0.000928 ,-1.53E-04,6.10E-05
0.000932 ,-1.53E-04,1.22E-04
0.000936 ,-1.53E-04,1.22E-04
0.000940 ,-2.75E-04,3.05E-05
0.000944 ,-1.53E-04,-9.16E-05
0.000948 ,3.05E-05,0.00E+00
0.000952 ,9.16E-05,3.05E-05
0.000956 ,1.22E-04,-9.16E-05
0.000960 ,3.05E-05,-6.10E-05
0.000964 ,6.10E-05,6.10E-05
0.000968 ,1.22E-04,6.10E-05
0.000972 ,3.05E-05,3.05E-05
0.000976 ,6.10E-05,6.10E-05
0.000980 ,3.05E-05,-6.10E-05
0.000984 ,-6.10E-05,3.05E-05
0.000988 ,-2.44E-04,6.10E-05
0.000992 ,-2.75E-04,3.05E-05
0.000996 ,-6.10E-05,-3.05E-05
0.001000 ,1.53E-04,6.10E-05
0.001004 ,6.10E-05,1.22E-04
0.001008 ,-6.10E-05,1.83E-04
0.001012 ,-1.22E-04,0.00E+00
0.001016 ,0.00E+00,-2.44E-04
0.001020 ,9.16E-05,-1.22E-04
0.001024 ,-9.16E-05,1.22E-04
0.001028 ,6.10E-05,6.10E-05
0.001032 ,1.22E-04,-3.05E-05
0.001036 ,0.00E+00,9.16E-05
0.001040 ,3.05E-05,6.10E-05
0.001044 ,9.16E-05,1.83E-04
0.001048 ,0.00E+00,1.22E-04
0.001052 ,0.00E+00,-3.05E-05
0.001056 ,-3.05E-05,1.53E-04
0.001060 ,9.16E-05,1.83E-04
0.001064 ,1.83E-04,3.05E-05
0.001068 ,2.44E-04,3.05E-05
0.001072 ,1.22E-04,2.75E-04
0.001076 ,-6.10E-05,9.16E-05
0.001080 ,-2.75E-04,-1.53E-04
0.001084 ,3.05E-05,-1.22E-04
0.001088 ,3.05E-05,3.05E-05
0.001092 ,6.10E-05,9.16E-05
0.001096 ,1.83E-04,-3.05E-05
0.001100 ,3.05E-05,-6.10E-05
0.001104 ,-1.22E-04,-2.44E-04
0.001108 ,-9.16E-05,-2.75E-04
0.001112 ,-3.05E-05,-3.05E-05
0.001116 ,3.05E-05,-3.05E-05
0.001120 ,3.05E-05,0.00E+00
0.001124 ,3.05E-05,0.00E+00
0.001128 ,-3.05E-05,-1.22E-04
0.001132 ,9.16E-05,-1.53E-04
0.001136 ,3.05E-05,3.05E-05
0.001140 ,-3.05E-05,9.16E-05
0.001144 ,-3.05E-05,-3.05E-05
0.001148 ,-1.22E-04,0.00E+00
0.001152 ,0.00E+00,9.16E-05
0.001156 ,0.00E+00,9.16E-05
0.001160 ,-6.10E-05,3.05E-05
0.001164 ,3.05E-05,9.16E-05
0.001168 ,3.05E-05,3.05E-05
0.001172 ,-9.16E-05,0.00E+00
0.001176 ,1.22E-04,-3.05E-05
0.001180 ,1.53E-04,6.10E-05
0.001184 ,-3.05E-05,3.05E-05
0.001188 ,0.00E+00,-3.05E-05
0.001192 ,0.00E+00,1.22E-04
0.001196 ,3.05E-05,1.53E-04
0.001200 ,1.83E-04,1.22E-04
0.001204 ,1.53E-04,6.10E-05
0.001208 ,1.53E-04,-6.10E-05
0.001212 ,-3.05E-05,6.10E-05
0.001216 ,-1.22E-04,6.10E-05
0.001220 ,-9.16E-05,3.05E-05
0.001224 ,-1.53E-04,-9.16E-05
0.001228 ,-1.22E-04,0.00E+00
0.001232 ,-3.05E-04,0.00E+00
0.001236 ,-1.83E-04,3.05E-05
0.001240 ,-1.83E-04,1.22E-04
0.001244 ,-1.22E-04,-1.53E-04
0.001248 ,0.00E+00,-1.53E-04
0.001252 ,0.00E+00,-3.05E-05
0.001256 ,1.22E-04,6.10E-05
0.001260 ,-6.10E-05,1.22E-04
0.001264 ,-2.44E-04,6.10E-05
0.001268 ,-1.83E-04,6.10E-05
0.001272 ,-6.10E-05,-3.05E-05
0.001276 ,-3.05E-05,-3.05E-05
0.001280 ,-6.10E-05,-1.53E-04
0.001284 ,3.05E-05,-3.05E-05
0.001288 ,2.14E-04,-6.10E-05
0.001292 ,2.14E-04,0.00E+00
0.001296 ,1.83E-04,3.05E-05
0.001300 ,1.53E-04,-6.10E-05
0.001304 ,1.83E-04,6.10E-05
0.001308 ,9.16E-05,-6.10E-05
0.001312 ,-3.05E-05,-9.16E-05
0.001316 ,6.10E-05,-9.16E-05
0.001320 ,-1.22E-04,-3.05E-05
0.001324 ,-1.83E-04,9.16E-05
0.001328 ,-1.22E-04,-6.10E-05
0.001332 ,-3.05E-05,-6.10E-05
0.001336 ,-3.36E-04,-9.16E-05
0.001340 ,-9.16E-05,-2.14E-04
0.001344 ,1.83E-04,-6.10E-05
0.001348 ,-3.05E-05,-3.05E-05
0.001352 ,6.10E-05,1.22E-04
0.001356 ,2.14E-04,1.53E-04
0.001360 ,2.14E-04,3.05E-05
0.001364 ,-9.16E-05,-6.10E-05
0.001368 ,-1.53E-04,6.10E-05
0.001372 ,-9.16E-05,-6.10E-05
0.001376 ,-6.10E-05,-3.05E-05
0.001380 ,0.00E+00,1.22E-04
0.001384 ,-9.16E-05,1.83E-04
0.001388 ,-6.10E-05,3.05E-05
0.001392 ,-6.10E-05,-2.44E-04
0.001396 ,-6.10E-05,-9.16E-05
0.001400 ,0.00E+00,-6.10E-05
0.001404 ,-6.10E-05,0.00E+00
0.001408 ,-1.53E-04,-6.10E-05
0.001412 ,-6.10E-05,-1.22E-04
0.001416 ,-1.22E-04,-3.05E-05
0.001420 ,-9.16E-05,-6.10E-05
0.001424 ,9.16E-05,-3.05E-05
0.001428 ,1.22E-04,3.05E-05
0.001432 ,1.83E-04,1.83E-04
0.001436 ,1.53E-04,1.83E-04
0.001440 ,9.16E-05,0.00E+00
0.001444 ,-9.16E-05,0.00E+00
0.001448 ,-6.10E-05,-1.53E-04
0.001452 ,3.05E-05,-2.14E-04
0.001456 ,6.10E-05,-1.83E-04
0.001460 ,1.83E-04,-1.83E-04
0.001464 ,-3.05E-05,-3.05E-05
0.001468 ,-6.10E-05,3.05E-05
0.001472 ,6.10E-05,1.83E-04
0.001476 ,9.16E-05,9.16E-05
0.001480 ,6.10E-05,1.22E-04
0.001484 ,-6.10E-05,0.00E+00
0.001488 ,1.22E-04,0.00E+00
0.001492 ,-9.16E-05,6.10E-05
0.001496 ,-3.05E-05,-1.83E-04
0.001500 ,3.05E-05,-2.44E-04
0.001504 ,1.22E-04,-2.75E-04
0.001508 ,3.05E-05,-3.05E-05
0.001512 ,0.00E+00,1.22E-04
0.001516 ,6.10E-05,1.53E-04
0.001520 ,-6.10E-05,9.16E-05
0.001524 ,-2.14E-04,-9.16E-05
0.001528 ,-1.22E-04,-1.22E-04
0.001532 ,-6.10E-05,-6.10E-05
0.001536 ,-2.14E-04,-1.22E-04
0.001540 ,-9.16E-05,-1.22E-04
0.001544 ,3.05E-05,1.53E-04
0.001548 ,6.10E-05,6.10E-05
0.001552 ,0.00E+00,-1.22E-04
0.001556 ,3.05E-05,3.05E-05
0.001560 ,6.10E-05,0.00E+00
0.001564 ,-3.05E-05,3.05E-05
0.001568 ,3.05E-05,6.10E-05
0.001572 ,1.83E-04,-6.10E-05
0.001576 ,3.05E-05,1.22E-04
0.001580 ,0.00E+00,1.83E-04
0.001584 ,0.00E+00,3.05E-05
0.001588 ,0.00E+00,-3.05E-05
0.001592 ,-1.83E-04,-3.36E-04
0.001596 ,-1.83E-04,-1.22E-04
0.001600 ,-9.16E-05,6.10E-05
0.001604 ,-1.53E-04,-3.05E-05
0.001608 ,-9.16E-05,-9.16E-05
0.001612 ,0.00E+00,6.10E-05
0.001616 ,-1.53E-04,-1.22E-04
0.001620 ,-3.05E-05,-1.83E-04
0.001624 ,3.05E-05,-2.75E-04
0.001628 ,-1.53E-04,-2.44E-04
0.001632 ,0.00E+00,-1.83E-04
0.001636 ,1.53E-04,-1.22E-04
0.001640 ,-3.05E-05,-3.05E-05
0.001644 ,-1.22E-04,0.00E+00
0.001648 ,0.00E+00,3.05E-04
0.001652 ,-3.05E-05,3.36E-04
0.001656 ,1.22E-04,1.83E-04
0.001660 ,3.05E-05,-9.16E-05
0.001664 ,-1.22E-04,-1.22E-04
0.001668 ,-9.16E-05,0.00E+00
0.001672 ,-9.16E-05,-3.05E-05
0.001676 ,3.05E-05,-9.16E-05
0.001680 ,1.22E-04,3.05E-05
0.001684 ,1.22E-04,-6.10E-05
0.001688 ,0.00E+00,6.10E-05
0.001692 ,-9.16E-05,0.00E+00
0.001696 ,-1.53E-04,-1.53E-04
0.001700 ,6.10E-05,-1.22E-04
0.001704 ,3.05E-05,1.22E-04
0.001708 ,-3.05E-05,2.14E-04
0.001712 ,-3.05E-05,9.16E-05
0.001716 ,-3.05E-05,9.16E-05
0.001720 ,3.05E-05,-3.05E-05
0.001724 ,1.53E-04,3.05E-05
0.001728 ,1.22E-04,3.05E-05
0.001732 ,2.14E-04,0.00E+00
0.001736 ,3.05E-05,1.83E-04
0.001740 ,-1.22E-04,1.22E-04
0.001744 ,6.10E-05,0.00E+00
0.001748 ,-9.16E-05,3.05E-05
0.001752 ,-9.16E-05,-3.05E-05
0.001756 ,-1.53E-04,9.16E-05
0.001760 ,-6.10E-05,9.16E-05
0.001764 ,-6.10E-05,2.75E-04
0.001768 ,0.00E+00,6.10E-05
0.001772 ,-6.10E-05,-3.05E-05
0.001776 ,3.05E-05,6.10E-05
0.001780 ,9.16E-05,9.16E-05
0.001784 ,1.22E-04,3.05E-05
0.001788 ,-6.10E-05,6.10E-05
0.001792 ,-9.16E-05,-6.10E-05
0.001796 ,9.16E-05,-2.14E-04
0.001800 ,1.83E-04,-1.83E-04
0.001804 ,1.22E-04,1.22E-04
0.001808 ,0.00E+00,0.00E+00
0.001812 ,0.00E+00,-1.53E-04
0.001816 ,0.00E+00,-1.53E-04
0.001820 ,-9.16E-05,-6.10E-05
0.001824 ,-1.22E-04,0.00E+00
0.001828 ,-1.83E-04,-3.05E-05
0.001832 ,-1.53E-04,-1.53E-04
0.001836 ,0.00E+00,-1.83E-04
0.001840 ,-9.16E-05,-2.14E-04
0.001844 ,-6.10E-05,-1.83E-04
0.001848 ,-1.53E-04,-1.22E-04
0.001852 ,-1.22E-04,3.05E-05
0.001856 ,3.05E-05,-6.10E-05
0.001860 ,1.22E-04,-3.05E-05
0.001864 ,3.05E-05,-3.05E-05
0.001868 ,-9.16E-05,1.83E-04
0.001872 ,-3.05E-05,-1.22E-04
0.001876 ,-9.16E-05,-2.14E-04
0.001880 ,0.00E+00,-2.75E-04
0.001884 ,1.53E-04,-3.05E-05
0.001888 ,1.53E-04,-1.53E-04
0.001892 ,9.16E-05,-1.22E-04
0.001896 ,9.16E-05,-1.22E-04
0.001900 ,3.05E-05,6.10E-05
0.001904 ,-6.10E-05,1.53E-04
0.001908 ,-6.10E-05,-3.05E-05
0.001912 ,-3.05E-05,-3.05E-05
0.001916 ,6.10E-05,0.00E+00
0.001920 ,9.16E-05,9.16E-05
0.001924 ,-3.05E-05,6.10E-05
0.001928 ,-2.75E-04,-3.05E-05
0.001932 ,-6.10E-05,-3.05E-05
0.001936 ,3.05E-05,9.16E-05
0.001940 ,0.00E+00,3.05E-05
0.001944 ,-3.05E-05,6.10E-05
0.001948 ,-9.16E-05,9.16E-05
0.001952 ,-3.05E-05,-6.10E-05
0.001956 ,-1.22E-04,-1.22E-04
0.001960 ,-1.53E-04,-1.53E-04
0.001964 ,-3.05E-05,6.10E-05
0.001968 ,0.00E+00,0.00E+00
0.001972 ,6.10E-05,-1.22E-04
0.001976 ,1.22E-04,-1.22E-04
0.001980 ,-3.05E-05,-6.10E-05
0.001984 ,3.05E-05,3.05E-05
0.001988 ,9.16E-05,0.00E+00
0.001992 ,0.00E+00,-1.22E-04
0.001996 ,1.83E-04,-6.10E-05
0.002000 ,0.00E+00,6.10E-05
0.002004 ,-1.83E-04,6.10E-05
0.002008 ,3.05E-05,-6.10E-05
0.002012 ,9.16E-05,6.10E-05
0.002016 ,1.22E-04,3.05E-05
0.002020 ,6.10E-05,-3.05E-05
0.002024 ,6.10E-05,-3.05E-05
0.002028 ,-9.16E-05,3.05E-05
0.002032 ,6.10E-05,3.05E-05
0.002036 ,1.22E-04,-9.16E-05
0.002040 ,1.22E-04,-6.10E-05
0.002044 ,1.53E-04,3.05E-05
0.002048 ,6.10E-05,9.16E-05
0.002052 ,0.00E+00,0.00E+00
0.002056 ,0.00E+00,0.00E+00
0.002060 ,1.53E-04,0.00E+00
0.002064 ,1.53E-04,1.22E-04
0.002068 ,6.10E-05,1.83E-04
0.002072 ,9.16E-05,1.22E-04
0.002076 ,6.10E-05,3.05E-05
0.002080 ,-2.14E-04,-1.22E-04
0.002084 ,-6.10E-05,6.10E-05
0.002088 ,0.00E+00,1.22E-04
0.002092 ,-1.83E-04,3.05E-05
0.002096 ,-6.10E-05,-3.05E-05
0.002100 ,9.16E-05,0.00E+00
0.002104 ,-3.05E-05,3.05E-05
0.002108 ,-2.14E-04,1.22E-04
0.002112 ,-1.83E-04,0.00E+00
0.002116 ,-1.22E-04,3.05E-05
0.002120 ,-1.83E-04,0.00E+00
0.002124 ,-2.14E-04,1.22E-04
0.002128 ,-9.16E-05,-3.05E-05
0.002132 ,-1.53E-04,-3.05E-05
0.002136 ,-1.53E-04,-6.10E-05
0.002140 ,6.10E-05,6.10E-05
0.002144 ,3.05E-05,1.22E-04
0.002148 ,-3.05E-05,3.05E-05
0.002152 ,6.10E-05,-3.05E-05
0.002156 ,1.22E-04,9.16E-05
0.002160 ,-9.16E-05,3.05E-05
0.002164 ,-1.22E-04,-6.10E-05
0.002168 ,-6.10E-05,-1.53E-04
0.002172 ,6.10E-05,-1.22E-04
0.002176 ,-9.16E-05,-1.22E-04
0.002180 ,-1.53E-04,-9.16E-05
0.002184 ,-6.10E-05,1.22E-04
0.002188 ,-1.83E-04,1.53E-04
0.002192 ,-9.16E-05,1.53E-04
0.002196 ,-3.05E-05,6.10E-05
0.002200 ,0.00E+00,0.00E+00
0.002204 ,6.10E-05,1.22E-04
0.002208 ,-3.05E-05,3.05E-05
0.002212 ,-9.16E-05,3.05E-05
0.002216 ,-2.75E-04,-6.10E-05
0.002220 ,-6.10E-05,-9.16E-05
0.002224 ,1.83E-04,-1.22E-04
0.002228 ,3.05E-05,-1.22E-04
0.002232 ,9.16E-05,-1.22E-04
0.002236 ,1.22E-04,-3.05E-05
0.002240 ,6.10E-05,0.00E+00
0.002244 ,9.16E-05,3.05E-05
0.002248 ,6.10E-05,3.05E-05
0.002252 ,-6.10E-05,9.16E-05
0.002256 ,-1.53E-04,1.83E-04
0.002260 ,-9.16E-05,-9.16E-05
0.002264 ,1.83E-04,-9.16E-05
0.002268 ,2.75E-04,3.05E-05
0.002272 ,3.05E-05,-3.05E-05
0.002276 ,3.05E-05,-1.83E-04
0.002280 ,3.05E-05,3.05E-05
0.002284 ,0.00E+00,3.05E-05
0.002288 ,2.14E-04,-1.22E-04
0.002292 ,3.05E-05,-1.53E-04
0.002296 ,-1.22E-04,3.05E-05
0.002300 ,9.16E-05,-9.16E-05
0.002304 ,1.53E-04,-3.05E-05
0.002308 ,3.05E-05,3.05E-05
0.002312 ,1.22E-04,3.05E-05
0.002316 ,3.05E-05,6.10E-05
0.002320 ,-1.22E-04,3.05E-05
0.002324 ,-2.75E-04,1.22E-04
0.002328 ,-9.16E-05,3.05E-05
0.002332 ,-1.22E-04,3.05E-05
0.002336 ,-3.36E-04,-3.05E-05
0.002340 ,-1.22E-04,-1.22E-04
0.002344 ,-3.05E-05,-1.83E-04
0.002348 ,1.53E-04,6.10E-05
0.002352 ,1.53E-04,1.22E-04
0.002356 ,-3.05E-05,-1.83E-04
0.002360 ,-9.16E-05,-2.14E-04
0.002364 ,-1.22E-04,-6.10E-05
0.002368 ,0.00E+00,-3.05E-05
0.002372 ,1.22E-04,-9.16E-05
0.002376 ,3.05E-05,-6.10E-05
0.002380 ,-3.05E-05,-9.16E-05
0.002384 ,-3.05E-05,-3.05E-05
0.002388 ,-3.05E-05,-3.05E-05
0.002392 ,-6.10E-05,-9.16E-05
0.002396 ,6.10E-05,6.10E-05
0.002400 ,1.83E-04,3.05E-04
0.002404 ,-9.16E-05,1.22E-04
0.002408 ,-9.16E-05,-1.22E-04
0.002412 ,6.10E-05,-1.53E-04
0.002416 ,0.00E+00,1.22E-04
0.002420 ,-1.53E-04,9.16E-05
0.002424 ,0.00E+00,-6.10E-05
0.002428 ,3.05E-05,1.22E-04
0.002432 ,-3.05E-05,-3.05E-05
0.002436 ,6.10E-05,-6.10E-05
0.002440 ,3.05E-05,3.05E-05
0.002444 ,0.00E+00,6.10E-05
0.002448 ,-3.05E-05,-6.10E-05
0.002452 ,-1.22E-04,-1.22E-04
0.002456 ,-1.83E-04,-3.05E-05
0.002460 ,-1.22E-04,-3.05E-05
0.002464 ,-1.53E-04,3.05E-05
0.002468 ,-2.14E-04,-1.53E-04
0.002472 ,-2.44E-04,-9.16E-05
0.002476 ,-3.05E-05,-6.10E-05
0.002480 ,3.05E-05,0.00E+00
0.002484 ,0.00E+00,1.83E-04
0.002488 ,0.00E+00,2.44E-04
0.002492 ,-6.10E-05,0.00E+00
0.002496 ,1.22E-04,-3.05E-05
0.002500 ,6.10E-05,9.16E-05
0.002504 ,3.05E-05,2.44E-04
0.002508 ,-3.05E-05,1.53E-04
0.002512 ,0.00E+00,-3.05E-05
0.002516 ,-2.14E-04,0.00E+00
0.002520 ,-6.10E-05,3.05E-05
0.002524 ,1.53E-04,-3.05E-05
0.002528 ,6.10E-05,-6.10E-05
0.002532 ,6.10E-05,3.05E-05
0.002536 ,2.14E-04,-9.16E-05
0.002540 ,6.10E-05,-1.83E-04
0.002544 ,-1.53E-04,6.10E-05
